,mPrecision,mRecall,mAP,mF1,sigma,theta,lambd,sides
48,0.10227121347225929,0.5766953022742556,0.38500308049911647,0.160918114315407,0.11513785017643186,1.2948000269929887,0.8126723586821264,7
49,0.10291327675389346,0.5497359083984892,0.36356097568043877,0.15881872691936477,0.8187390843472899,2.464257170049542,0.5497949827159107,8
50,0.095503371897001,0.6207975483590786,0.42159239791926517,0.15870565516963694,0.3532137670588005,1.6616905222260068,0.9333941334386662,1
51,0.10662852713915216,0.5189296948469653,0.34298186253364216,0.16278224773628613,0.9830668688918388,0.957547672530827,0.24571226301821258,2
52,0.08703396158969859,0.4766970319789231,0.3096588726136666,0.13679093222194447,0.8838254464445581,1.3993071995692414,0.13883838000724047,2
53,0.12492091092343778,0.3496331636368891,0.21071069154893046,0.14771389900943976,0.8534493333489572,2.4324271201751366,0.030055016790528244,2
54,0.10327576814728379,0.5477459197396469,0.35782085853627865,0.16015001685473795,0.3562531775378994,2.0990669432057607,0.5934967777107625,8
55,0.10465908049879755,0.5307895326238173,0.34417545821860973,0.16140319298454056,0.7571297778090657,0.34841280788912177,0.5935444522000249,1
56,0.11107978651271293,0.6283534546350964,0.42596489104093627,0.17723939103748226,0.9863290630015888,1.6689603472998196,0.21521237364121015,8
57,0.10652100029024632,0.5836669705852714,0.39308415590367685,0.16531015502529894,0.5263216119513313,0.6242195031224741,0.40860404917122717,3
58,0.09990860225456834,0.6191358496304303,0.42900661279933666,0.16113419732665907,0.4707321549552316,3.073757214527349,0.11973326326706157,5
59,0.09987461909600283,0.6595000804090534,0.4583338515383318,0.1645067658600508,0.014665820972070809,2.3204600456498667,0.14746842773947588,8
60,0.10193088934265745,0.5526825860476968,0.3577133420292494,0.158399067898621,0.7002037687349363,0.25447150239934646,0.6311455018450769,4
61,0.10999237810045881,0.5958725758564976,0.4048719997396283,0.1733358520926775,0.8584775686018541,0.7798352170648057,0.31551494565666105,7
62,0.11033964903164635,0.5946219772017427,0.4093235637858889,0.17243122094308405,0.24745718608182998,0.24543904856017107,0.3022001188089092,4
63,0.10324038178963327,0.5586615644329067,0.3638858670723349,0.16153082266349264,0.3150245771146568,1.1626919983411723,0.6000712799944485,3
64,0.10704493828412928,0.6096655722426466,0.4156255702909342,0.17098898595905668,0.5006770213261564,2.584539752605669,0.24667962547889155,8
65,0.1011253996093491,0.6030936389861277,0.40996865095228163,0.16612678283412827,0.07208015736151685,0.20971874026519022,0.01603148573414026,5
66,0.11485105866254297,0.6293285124205829,0.43128774099658534,0.18091541328217184,0.08964247609873699,0.5194849628193031,0.3055125133150466,3
67,0.10489758984504353,0.6030537292795046,0.4082392589969436,0.16683561494472846,0.4211107588880808,0.8402040127896951,0.8740028079269858,1
68,0.09738170764030382,0.6065835356896958,0.4137960439505866,0.15972377527697024,0.26121895270342166,1.960606090886411,0.8757348295194103,1
69,0.09707744206244773,0.5663398757059985,0.37488430584357124,0.1554335254340938,0.4060373025327685,3.062058359367494,0.9186432507877972,5
70,0.10254533215442793,0.6111792728251693,0.4139748401930615,0.16506037955853908,0.454386298099938,2.584689013383369,0.19327827462438163,6
71,0.0987761212299354,0.5559250014821281,0.36212363495073774,0.1554427072071271,0.9762733967391182,0.6312292694233972,0.6698455285895693,6
72,0.10573636666311659,0.55184057705114,0.3681259769274291,0.16249166223756678,0.9442598201028373,2.2307280970367085,0.49220459565147023,7
73,0.11259180122538286,0.5322058999646142,0.36837739054728896,0.16958033436844505,0.1397301515397661,1.747943674978382,0.2631686477994579,1
